"infinitive","infinitive_english","mood","mood_english","tense","tense_english","verb_english","form_1s","form_2s","form_3s","form_1p","form_2p","form_3p","gerund","gerund_english","pastparticiple","pastparticiple_english"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Presente","Present","I abandon, am abandoning","abandono","abandonas","abandona","abandonamos","abandonais","abandonan","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Futuro","Future","I will abandon","abandonare","abandonaras","abandonara","abandonaremos","abandonareis","abandonaran","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Imperfecto","Imperfect","I was abandoning, used to abandon, abandoned","abandonaba","abandonabas","abandonaba","abandonabamos","abandonabais","abandonaban","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Preterito","Preterite","I abandoned","abandone","abandonaste","abandonó","abandonamos","abandonasteis","abandonaron","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Condicional","Conditional","I would abandon","abandonaria","abandonarias","abandonaria","abandonariamos","abandonariais","abandonarian","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Preterito perfecto","Present Perfect","I have abandoned","he abandonado","has abandonado","ha abandonado","hemos abandonado","habeis abandonado","han abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have abandoned","habre abandonado","habras abandonado","habra abandonado","habremos abandonado","habreis abandonado","habran abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had abandoned","habia abandonado","habias abandonado","habia abandonado","habiamos abandonado","habiais abandonado","habian abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Preterito anterior","Preterite (Archaic)","I had abandoned","hube abandonado","hubiste abandonado","hubo abandonado","hubimos abandonado","hubisteis abandonado","hubieron abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have abandoned","habria abandonado","habrias abandonado","habria abandonado","habriamos abandonado","habriais abandonado","habrian abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Presente","Present","I abandon, am abandoning","abandone","abandones","abandone","abandonemos","abandoneis","abandonen","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I abandoned, was abandoning","abandonara","abandonaras","abandonara","abandonaramos","abandonarais","abandonaran","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Futuro","Future","I will abandon","abandonare","abandonares","abandonare","abandonaremos","abandonareis","abandonaren","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Preterito perfecto","Present Perfect","I have abandoned, abandoned","haya abandonado","hayas abandonado","haya abandonado","hayamos abandonado","hayais abandonado","hayan abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have abandoned","hubiere abandonado","hubieres abandonado","hubiere abandonado","hubieremos abandonado","hubiereis abandonado","hubieren abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had abandoned","hubiera abandonado","hubieras abandonado","hubiera abandonado","hubieramos abandonado","hubierais abandonado","hubieran abandonado","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Abandon! Don't abandon!",,"abandona","abandone","abandonemos","abandonad","abandonen","abandonando","abandoning","abandonado","abandoned"
"abandonar","to abandon, leave behind, desert; to quit, give up","Imperativo Negativo","Imperative Negative","Presente","Present","Abandon! Don't abandon!",,"no abandones","no abandone","no abandonemos","no abandoneis","no abandonen","abandonando","abandoning","abandonado","abandoned"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Presente","Present","I board, am boarding","abordo","abordas","aborda","abordamos","abordais","abordan","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Futuro","Future","I will board","abordare","abordaras","abordara","abordaremos","abordareis","abordaran","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Imperfecto","Imperfect","I was boarding, used to board, boarded","abordaba","abordabas","abordaba","abordabamos","abordabais","abordaban","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Preterito","Preterite","I boarded","aborde","abordaste","abordó","abordamos","abordasteis","abordaron","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Condicional","Conditional","I would board","abordaria","abordarias","abordaria","abordariamos","abordariais","abordarian","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Preterito perfecto","Present Perfect","I have boarded","he abordado","has abordado","ha abordado","hemos abordado","habeis abordado","han abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have boarded","habre abordado","habras abordado","habra abordado","habremos abordado","habreis abordado","habran abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had boarded","habia abordado","habias abordado","habia abordado","habiamos abordado","habiais abordado","habian abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Preterito anterior","Preterite (Archaic)","I had boarded","hube abordado","hubiste abordado","hubo abordado","hubimos abordado","hubisteis abordado","hubieron abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have boarded","habria abordado","habrias abordado","habria abordado","habriamos abordado","habriais abordado","habrian abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Presente","Present","I board, am boarding","aborde","abordes","aborde","abordemos","abordeis","aborden","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I boarded, was boarding","abordara","abordaras","abordara","abordaramos","abordarais","abordaran","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Futuro","Future","I will board","abordare","abordares","abordare","abordaremos","abordareis","abordaren","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Preterito perfecto","Present Perfect","I have boarded, boarded","haya abordado","hayas abordado","haya abordado","hayamos abordado","hayais abordado","hayan abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have boarded","hubiere abordado","hubieres abordado","hubiere abordado","hubieremos abordado","hubiereis abordado","hubieren abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had boarded","hubiera abordado","hubieras abordado","hubiera abordado","hubieramos abordado","hubierais abordado","hubieran abordado","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Board! Don't board!",,"aborda","aborde","abordemos","abordad","aborden","abordando","boarding","abordado","boarded"
"abordar","to board, get on [plane, bus, etc.]; to approach, accost [a person]","Imperativo Negativo","Imperative Negative","Presente","Present","Board! Don't board!",,"no abordes","no aborde","no abordemos","no abordeis","no aborden","abordando","boarding","abordado","boarded"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Presente","Present","I abort, am aborting","aborto","abortas","aborta","abortamos","abortais","abortan","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Futuro","Future","I will abort","abortare","abortaras","abortara","abortaremos","abortareis","abortaran","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Imperfecto","Imperfect","I was aborting, used to abort, aborted","abortaba","abortabas","abortaba","abortabamos","abortabais","abortaban","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Preterito","Preterite","I aborted","aborte","abortaste","abortó","abortamos","abortasteis","abortaron","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Condicional","Conditional","I would abort","abortaria","abortarias","abortaria","abortariamos","abortariais","abortarian","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Preterito perfecto","Present Perfect","I have aborted","he abortado","has abortado","ha abortado","hemos abortado","habeis abortado","han abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have aborted","habre abortado","habras abortado","habra abortado","habremos abortado","habreis abortado","habran abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had aborted","habia abortado","habias abortado","habia abortado","habiamos abortado","habiais abortado","habian abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Preterito anterior","Preterite (Archaic)","I had aborted","hube abortado","hubiste abortado","hubo abortado","hubimos abortado","hubisteis abortado","hubieron abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have aborted","habria abortado","habrias abortado","habria abortado","habriamos abortado","habriais abortado","habrian abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Presente","Present","I abort, am aborting","aborte","abortes","aborte","abortemos","aborteis","aborten","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I aborted, was aborting","abortara","abortaras","abortara","abortaramos","abortarais","abortaran","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Futuro","Future","I will abort","abortare","abortares","abortare","abortaremos","abortareis","abortaren","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Preterito perfecto","Present Perfect","I have aborted, aborted","haya abortado","hayas abortado","haya abortado","hayamos abortado","hayais abortado","hayan abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have aborted","hubiere abortado","hubieres abortado","hubiere abortado","hubieremos abortado","hubiereis abortado","hubieren abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had aborted","hubiera abortado","hubieras abortado","hubiera abortado","hubieramos abortado","hubierais abortado","hubieran abortado","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Abort! Don't abort!",,"aborta","aborte","abortemos","abortad","aborten","abortando","aborting","abortado","aborted"
"abortar","to abort, cause to miscarry; to have a miscarriage","Imperativo Negativo","Imperative Negative","Presente","Present","Abort! Don't abort!",,"no abortes","no aborte","no abortemos","no aborteis","no aborten","abortando","aborting","abortado","aborted"
"abrazar","to hug, embrace","Indicativo","Indicative","Presente","Present","I hug, am hugging","abrazo","abrazas","abraza","abrazamos","abrazais","abrazan","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Futuro","Future","I will hug","abrazare","abrazaras","abrazara","abrazaremos","abrazareis","abrazaran","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Imperfecto","Imperfect","I was hugging, used to hug, hugged","abrazaba","abrazabas","abrazaba","abrazabamos","abrazabais","abrazaban","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Preterito","Preterite","I hugged","abrace","abrazaste","abrazó","abrazamos","abrazasteis","abrazaron","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Condicional","Conditional","I would hug","abrazaria","abrazarias","abrazaria","abrazariamos","abrazariais","abrazarian","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Preterito perfecto","Present Perfect","I have hugged","he abrazado","has abrazado","ha abrazado","hemos abrazado","habeis abrazado","han abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have hugged","habre abrazado","habras abrazado","habra abrazado","habremos abrazado","habreis abrazado","habran abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had hugged","habia abrazado","habias abrazado","habia abrazado","habiamos abrazado","habiais abrazado","habian abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Preterito anterior","Preterite (Archaic)","I had hugged","hube abrazado","hubiste abrazado","hubo abrazado","hubimos abrazado","hubisteis abrazado","hubieron abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have hugged","habria abrazado","habrias abrazado","habria abrazado","habriamos abrazado","habriais abrazado","habrian abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Presente","Present","I hug, am hugging","abrace","abraces","abrace","abracemos","abraceis","abracen","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I hugged, was hugging","abrazara","abrazaras","abrazara","abrazaramos","abrazarais","abrazaran","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Futuro","Future","I will hug","abrazare","abrazares","abrazare","abrazaremos","abrazareis","abrazaren","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Preterito perfecto","Present Perfect","I have hugged, hugged","haya abrazado","hayas abrazado","haya abrazado","hayamos abrazado","hayais abrazado","hayan abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have hugged","hubiere abrazado","hubieres abrazado","hubiere abrazado","hubieremos abrazado","hubiereis abrazado","hubieren abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had hugged","hubiera abrazado","hubieras abrazado","hubiera abrazado","hubieramos abrazado","hubierais abrazado","hubieran abrazado","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Hug! Don't hug!",,"abraza","abrace","abracemos","abrazad","abracen","abrazando","hugging","abrazado","hugged"
"abrazar","to hug, embrace","Imperativo Negativo","Imperative Negative","Presente","Present","Hug! Don't hug!",,"no abraces","no abrace","no abracemos","no abraceis","no abracen","abrazando","hugging","abrazado","hugged"
"abrir","to open","Indicativo","Indicative","Presente","Present","I open, am opening","abro","abres","abre","abrimos","abris","abren","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Futuro","Future","I will open","abrire","abriras","abrira","abriremos","abrireis","abriran","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Imperfecto","Imperfect","I was opening, used to open, opened","abria","abrias","abria","abriamos","abriais","abrian","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Preterito","Preterite","I opened","abri","abriste","abrió","abrimos","abristeis","abrieron","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Condicional","Conditional","I would open","abriria","abririas","abriria","abririamos","abririais","abririan","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Preterito perfecto","Present Perfect","I have opened","he abierto","has abierto","ha abierto","hemos abierto","habeis abierto","han abierto","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have opened","habre abierto","habras abierto","habra abierto","habremos abierto","habreis abierto","habran abierto","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had opened","habia abierto","habias abierto","habia abierto","habiamos abierto","habiais abierto","habian abierto","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Preterito anterior","Preterite (Archaic)","I had opened","hube abierto","hubiste abierto","hubo abierto","hubimos abierto","hubisteis abierto","hubieron abierto","abriendo","opening","abierto","opened"
"abrir","to open","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have opened","habria abierto","habrias abierto","habria abierto","habriamos abierto","habriais abierto","habrian abierto","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Presente","Present","I open, am opening","abra","abras","abra","abramos","abrais","abran","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I opened, was opening","abriera","abrieras","abriera","abrieramos","abrierais","abrieran","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Futuro","Future","I will open","abriere","abrieres","abriere","abrieremos","abriereis","abrieren","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Preterito perfecto","Present Perfect","I have opened, opened","haya abierto","hayas abierto","haya abierto","hayamos abierto","hayais abierto","hayan abierto","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have opened","hubiere abierto","hubieres abierto","hubiere abierto","hubieremos abierto","hubiereis abierto","hubieren abierto","abriendo","opening","abierto","opened"
"abrir","to open","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had opened","hubiera abierto","hubieras abierto","hubiera abierto","hubieramos abierto","hubierais abierto","hubieran abierto","abriendo","opening","abierto","opened"
"abrir","to open","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Open! Don't open!",,"abre","abra","abramos","abrid","abran","abriendo","opening","abierto","opened"
"abrir","to open","Imperativo Negativo","Imperative Negative","Presente","Present","Open! Don't open!",,"no abras","no abra","no abramos","no abrais","no abran","abriendo","opening","abierto","opened"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Presente","Present","I bore, am boring","aburro","aburres","aburre","aburrimos","aburris","aburren","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Futuro","Future","I will bore","aburrire","aburriras","aburrira","aburriremos","aburrireis","aburriran","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Imperfecto","Imperfect","I was boring, used to bore, bored","aburria","aburrias","aburria","aburriamos","aburriais","aburrian","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Preterito","Preterite","I bored","aburri","aburriste","aburrió","aburrimos","aburristeis","aburrieron","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Condicional","Conditional","I would bore","aburriria","aburririas","aburriria","aburririamos","aburririais","aburririan","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Preterito perfecto","Present Perfect","I have bored","he aburrido","has aburrido","ha aburrido","hemos aburrido","habeis aburrido","han aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have bored","habre aburrido","habras aburrido","habra aburrido","habremos aburrido","habreis aburrido","habran aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had bored","habia aburrido","habias aburrido","habia aburrido","habiamos aburrido","habiais aburrido","habian aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Preterito anterior","Preterite (Archaic)","I had bored","hube aburrido","hubiste aburrido","hubo aburrido","hubimos aburrido","hubisteis aburrido","hubieron aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have bored","habria aburrido","habrias aburrido","habria aburrido","habriamos aburrido","habriais aburrido","habrian aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Subjuntivo","Subjunctive","Presente","Present","I bore, am boring","aburra","aburras","aburra","aburramos","aburrais","aburran","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I bored, was boring","aburriera","aburrieras","aburriera","aburrieramos","aburrierais","aburrieran","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Subjuntivo","Subjunctive","Futuro","Future","I will bore","aburriere","aburrieres","aburriere","aburrieremos","aburriereis","aburrieren","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Subjuntivo","Subjunctive","Preterito perfecto","Present Perfect","I have bored, bored","haya aburrido","hayas aburrido","haya aburrido","hayamos aburrido","hayais aburrido","hayan aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have bored","hubiere aburrido","hubieres aburrido","hubiere aburrido","hubieremos aburrido","hubiereis aburrido","hubieren aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had bored","hubiera aburrido","hubieras aburrido","hubiera aburrido","hubieramos aburrido","hubierais aburrido","hubieran aburrido","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Bore! Don't bore!",,"aburre","aburra","aburramos","aburrid","aburran","aburriendo","boring","aburrido","bored"
"aburrir","to bore; to tire, weary","Imperativo Negativo","Imperative Negative","Presente","Present","Bore! Don't bore!",,"no aburras","no aburra","no aburramos","no aburrais","no aburran","aburriendo","boring","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Presente","Present","I get bored, am getting bored","me aburro","te aburres","se aburre","nos aburrimos","os aburris","se aburren","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Futuro","Future","I will get bored","me aburrire","te aburriras","se aburrira","nos aburriremos","os aburrireis","se aburriran","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Imperfecto","Imperfect","I was getting bored, used to get bored, got bored","me aburria","te aburrias","se aburria","nos aburriamos","os aburriais","se aburrian","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Preterito","Preterite","I got bored","me aburri","te aburriste","se aburrió","nos aburrimos","os aburristeis","se aburrieron","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Condicional","Conditional","I would get bored","me aburriria","te aburririas","se aburriria","nos aburririamos","os aburririais","se aburririan","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Preterito perfecto","Present Perfect","I have gotten bored","me he aburrido","te has aburrido","se ha aburrido","nos hemos aburrido","os habeis aburrido","se han aburrido","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Futuro perfecto","Future Perfect","I will have gotten bored","me habre aburrido","te habras aburrido","se habra aburrido","nos habremos aburrido","os habreis aburrido","se habran aburrido","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Pluscuamperfecto","Past Perfect","I had gotten bored","me habia aburrido","te habias aburrido","se habia aburrido","nos habiamos aburrido","os habiais aburrido","se habian aburrido","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Preterito anterior","Preterite (Archaic)","I had gotten bored","me hube aburrido","te hubiste aburrido","se hubo aburrido","nos hubimos aburrido","os hubisteis aburrido","se hubieron aburrido","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Indicativo","Indicative","Condicional perfecto","Conditional Perfect","I would have gotten bored","me habria aburrido","te habrias aburrido","se habria aburrido","nos habriamos aburrido","os habriais aburrido","se habrian aburrido","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Subjuntivo","Subjunctive","Presente","Present","I get bored, am getting bored","me aburra","te aburras","se aburra","nos aburramos","os aburrais","se aburran","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Subjuntivo","Subjunctive","Imperfecto","Imperfect","I got bored, was getting bored","me aburriera","te aburrieras","se aburriera","nos aburrieramos","os aburrierais","se aburrieran","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Subjuntivo","Subjunctive","Futuro","Future","I will get bored","me aburriere","te aburrieres","se aburriere","nos aburrieremos","os aburriereis","se aburrieren","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Subjuntivo","Subjunctive","Preterito perfecto","Present Perfect","I have gotten bored, got bored","me haya aburrido","te hayas aburrido","se haya aburrido","nos hayamos aburrido","os hayais aburrido","se hayan aburrido","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Subjuntivo","Subjunctive","Futuro perfecto","Future Perfect","I will have gotten bored","me hubiere aburrido","te hubieres aburrido","se hubiere aburrido","nos hubieremos aburrido","os hubiereis aburrido","se hubieren aburrido","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Subjuntivo","Subjunctive","Pluscuamperfecto","Past Perfect","I had gotten bored","me hubiera aburrido","te hubieras aburrido","se hubiera aburrido","nos hubieramos aburrido","os hubierais aburrido","se hubieran aburrido","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Imperativo Afirmativo","Imperative Affirmative","Presente","Present","Get bored! Don't get bored!",,"aburrete","aburrase","aburramonos","aburrios","aburranse","aburriendose","getting bored","aburrido","bored"
"aburrirse","to get bored, become bored, be bored","Imperativo Negativo","Imperative Negative","Presente","Present","Get bored! Don't get bored!",,"no te aburras","no se aburra","no nos aburramos","no os aburrais","no se aburran","aburriendose","getting bored","aburrido","bored"
